City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Luderitz,NA,2021-06-07 00:01:45,-26.6481,15.1594,68.02,31,1,12.08
68,Sao Joao Da Barra,BR,2021-06-07 00:06:48,-21.6403,-41.0511,74.32,85,100,13.62
69,General Pico,AR,2021-06-07 00:11:19,-35.6566,-63.7568,47.43,53,94,8.52
70,Tukrah,LY,2021-06-07 00:09:16,32.5341,20.5791,70.16,61,4,7.16
71,Cabedelo,BR,2021-06-07 00:11:20,-6.9811,-34.8339,75.87,85,36,11.83
72,Honiara,SB,2021-06-07 00:09:51,-9.4333,159.95,86.2,66,9,7.2
73,Winona,US,2021-06-07 00:07:46,43.9666,-91.7668,85.8,48,1,12.48
74,Portland,US,2021-06-07 00:03:28,45.5234,-122.6762,65.39,58,90,4.0
75,Ikalamavony,MG,2021-06-07 00:11:20,-21.15,46.5833,57.58,76,36,10.45
76,Severo-Kurilsk,RU,2021-06-07 00:11:21,50.6789,156.125,43.7,92,100,11.05
77,Tasiilaq,GL,2021-06-07 00:11:21,65.6145,-37.6368,41.16,90,98,5.03
78,Falakata,IN,2021-06-07 00:11:21,26.5208,89.2055,75.85,95,29,6.24
79,Turayf,SA,2021-06-07 00:09:41,31.6725,38.6637,70.9,34,3,6.82
80,Salalah,OM,2021-06-07 00:11:22,17.0151,54.0924,84.29,89,75,5.75
81,Zhaotong,CN,2021-06-07 00:11:22,27.3167,103.7167,58.21,82,100,3.02
82,Chuy,UY,2021-06-07 00:02:07,-33.6971,-53.4616,50.31,79,70,6.29
83,Toora-Khem,RU,2021-06-07 00:11:23,52.4675,96.11,44.33,78,100,0.92
84,Quijingue,BR,2021-06-07 00:11:23,-10.7525,-39.2092,67.86,94,42,4.54
85,Sire,NG,2021-06-07 00:11:23,12.9299,5.2043,83.23,51,100,14.81
86,San Cristobal,VE,2021-06-07 00:08:39,7.7669,-72.225,73.58,99,100,2.01
87,Ocos,GT,2021-06-07 00:11:24,14.5094,-92.1933,85.32,71,60,6.73
88,Samarai,PG,2021-06-07 00:03:23,-10.6167,150.6667,78.31,88,99,15.23
89,Tabou,CI,2021-06-07 00:11:24,4.423,-7.3528,78.6,84,100,10.25
90,Rudnyy,KZ,2021-06-07 00:11:25,52.9594,63.1206,59.11,44,33,1.95
91,Clyde,US,2021-06-07 00:11:25,41.3042,-82.9752,85.71,77,73,13.0
92,Georgetown,MY,2021-06-07 00:11:25,5.4112,100.3354,80.89,88,20,3.67
93,Iquique,CL,2021-06-07 00:11:26,-20.2208,-70.1431,60.84,79,94,3.65
94,Yellowknife,CA,2021-06-07 00:11:26,62.456,-114.3525,50.56,57,100,7.0
95,Camacha,PT,2021-06-07 00:09:18,33.0833,-16.3333,63.36,72,40,12.66
96,Hasaki,JP,2021-06-07 00:11:27,35.7333,140.8333,72.0,83,100,0.69
97,Saskylakh,RU,2021-06-07 00:03:27,71.9167,114.0833,40.37,52,81,5.26
98,Saint-Philippe,RE,2021-06-07 00:11:27,-21.3585,55.7679,72.99,85,79,15.52
